,labels,oriw,orix,oriy,oriz,posex,posey
2815,1,0.0321085386,0,0,-0.9994843879,0.5051417884,-1.1378290932
2816,1,0.0345506414,0,0,-0.9994029484,0.4948852835,-1.1384887565
2817,1,0.0364692924,0,0,-0.9993347741,0.4845470363,-1.1392044248
2818,1,0.0383006068,0,0,-0.9992662626,0.4741265481,-1.1399660006
2819,1,0.0403061842,0,0,-0.9991873756,0.4637939631,-1.1407592357
2820,1,0.0423115993,0,0,-0.9991044633,0.453422138,-1.1415973769
2821,1,0.0441424818,0,0,-0.9990252456,0.4429687744,-1.1424843577
2822,1,0.04606039,0,0,-0.998938657,0.4324337722,-1.1434171686
2823,1,0.0486754445,0,0,-0.998814648,0.4219448945,-1.1443864997
2824,1,0.0505929401,0,0,-0.9987193572,0.4116734558,-1.1453900033
2825,1,0.052597395,0,0,-0.998615799,0.4013210904,-1.1464415582
2826,1,0.0546887742,0,0,-0.9985034492,0.3909306197,-1.1475391415
2827,1,0.0568670389,0,0,-0.9983817606,0.3805024466,-1.1486848962
2828,1,0.0589579185,0,0,-0.9982604689,0.3702064828,-1.1498616138
2829,1,0.061135643,0,0,-0.9981294671,0.3600002375,-1.1510714089
2830,1,0.0634001676,0,0,-0.9979881857,0.3497147135,-1.1523361347
2831,1,0.0656643658,0,0,-0.9978417665,0.3394350345,-1.1536475216
2832,1,0.0678411609,0,0,-0.9976961345,0.3289077425,-1.1550390738
2833,1,0.0708881291,0,0,-0.9974842721,0.3184711295,-1.1564650007
2834,1,0.0729770983,0,0,-0.9973336168,0.308170074,-1.1579365613
2835,1,0.0750657474,0,0,-0.9971785866,0.2977908893,-1.1594636734
2836,1,0.0773280786,0,0,-0.9970057012,0.2874603578,-1.1610278637
2837,1,0.0794160314,0,0,-0.9968415591,0.2770106227,-1.1626586434
2838,1,0.0820254813,0,0,-0.9966302325,0.2667783507,-1.1642994195
2839,1,0.0859385966,0,0,-0.9963004354,0.2564706657,-1.1660076941
2840,1,0.0907194872,0,0,-0.9958764856,0.246092683,-1.167811477
2841,1,0.0954982879,0,0,-0.9954295942,0.2356905491,-1.1697225026
2842,1,0.1021848883,0,0,-0.9947654239,0.2254328433,-1.1717089678
2843,1,0.1066111543,0,0,-0.9943007904,0.2152027592,-1.1738331032
2844,1,0.1112954853,0,0,-0.993787359,0.2049919874,-1.176048213
2845,1,0.1158039879,0,0,-0.9932720858,0.1947609562,-1.1783688909
2846,1,0.120050204,0,0,-0.9927678221,0.1846344123,-1.1807627045
2847,1,0.1245539899,0,0,-0.9922128318,0.1746943778,-1.1832023716
2848,1,0.1297474731,0,0,-0.9915470706,0.1647355713,-1.1857426907
2849,1,0.1363207605,0,0,-0.9906647517,0.1547627023,-1.1883981299
2850,1,0.1437517072,0,0,-0.9896137866,0.1447438106,-1.1912086538
