%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.position0,field.position1,field.velocity0,field.velocity1,field.effort0,field.effort1
1494450135451914921,517,1494450134518129807,,wheel_left_joint,wheel_right_joint,0.236380930524,0.226633263286,0.852920883335,0.731075042859,0.0,0.0
1494450135451930528,518,1494450134536812181,,wheel_left_joint,wheel_right_joint,0.251002431381,0.241254764143,0.731075042859,0.731075042859,0.0,0.0
1494450135451940074,519,1494450134557523245,,wheel_left_joint,wheel_right_joint,0.263187015429,0.253439348191,0.609229202382,0.609229202382,0.0,0.0
1494450135451946323,520,1494450134577257276,,wheel_left_joint,wheel_right_joint,0.275371599477,0.263187015429,0.609229202382,0.487383361906,0.0,0.0
1494450135451957941,521,1494450134597232305,,wheel_left_joint,wheel_right_joint,0.287556183524,0.272934682667,0.609229202382,0.487383361906,0.0,0.0
1494450135451972988,522,1494450134617304292,,wheel_left_joint,wheel_right_joint,0.304614601191,0.285119266715,0.852920883335,0.609229202382,0.0,0.0
1494450135451979279,523,1494450134637231780,,wheel_left_joint,wheel_right_joint,0.319236102048,0.299740767572,0.731075042859,0.731075042859,0.0,0.0
1494450135451991651,524,1494450134657332516,,wheel_left_joint,wheel_right_joint,0.333857602905,0.31192535162,0.731075042859,0.609229202382,0.0,0.0
1494450135451998012,525,1494450134677362045,,wheel_left_joint,wheel_right_joint,0.346042186953,0.324109935667,0.609229202382,0.609229202382,0.0,0.0
1494450135452006170,526,1494450134697265158,,wheel_left_joint,wheel_right_joint,0.36310060462,0.338731436525,0.852920883335,0.731075042859,0.0,0.0
1494450135452024261,527,1494450134717260562,,wheel_left_joint,wheel_right_joint,0.377722105477,0.353352937382,0.731075042859,0.731075042859,0.0,0.0
1494450135452029781,528,1494450134737576838,,wheel_left_joint,wheel_right_joint,0.394780523144,0.370411355048,0.852920883335,0.852920883335,0.0,0.0
1494450135452045078,529,1494450134757671782,,wheel_left_joint,wheel_right_joint,0.409402024001,0.387469772715,0.731075042859,0.852920883335,0.0,0.0
