%time,field.level,field.name,field.message,field.hardware_id
1494450135452095913,0,toplevel_state,,
1494450136094184571,0,toplevel_state,,
1494450137086988609,0,toplevel_state,,
1494450138099104902,0,toplevel_state,,
1494450139086145458,0,toplevel_state,,
1494450140086472323,0,toplevel_state,,
1494450141087642673,0,toplevel_state,,
1494450142085697427,0,toplevel_state,,
1494450143086462712,0,toplevel_state,,
1494450144085702220,0,toplevel_state,,
1494450145085777462,0,toplevel_state,,
1494450146086609438,0,toplevel_state,,
1494450147085744629,0,toplevel_state,,
1494450148085958724,0,toplevel_state,,
1494450149090272202,0,toplevel_state,,
1494450150085538544,0,toplevel_state,,
1494450151085790710,0,toplevel_state,,
1494450152086669380,1,toplevel_state,,
1494450153085678976,1,toplevel_state,,
1494450154085801579,1,toplevel_state,,
1494450155085823455,0,toplevel_state,,
1494450156086370053,0,toplevel_state,,
1494450157086001412,1,toplevel_state,,
1494450158086096694,0,toplevel_state,,
1494450159085811477,1,toplevel_state,,
1494450160086091039,1,toplevel_state,,
1494450161089189010,1,toplevel_state,,
1494450162087584846,0,toplevel_state,,
1494450163085773026,0,toplevel_state,,
1494450164085396839,0,toplevel_state,,
1494450165087421475,1,toplevel_state,,
1494450166088513012,1,toplevel_state,,
1494450167087279881,1,toplevel_state,,
1494450168086166984,1,toplevel_state,,
1494450169086557100,1,toplevel_state,,
1494450170090867269,1,toplevel_state,,
1494450171086776714,0,toplevel_state,,
1494450172085840821,0,toplevel_state,,
1494450173087579353,1,toplevel_state,,
1494450174085751817,0,toplevel_state,,
1494450175086283846,1,toplevel_state,,
1494450176099374874,1,toplevel_state,,
1494450177085844102,1,toplevel_state,,
1494450178085558959,1,toplevel_state,,
1494450179085841266,1,toplevel_state,,
1494450180085829788,1,toplevel_state,,
1494450181085938146,1,toplevel_state,,
1494450182085394418,1,toplevel_state,,
1494450183086834096,0,toplevel_state,,
1494450184086553515,0,toplevel_state,,
1494450185088194299,1,toplevel_state,,
1494450186087028468,0,toplevel_state,,
