,labels,oriw,orix,oriy,oriz,posex,posey
6166,0,0.7174579387,0,0,0.6966018276,-2.3113664233,0.0661244727
6167,0,0.7174579387,0,0,0.6966018276,-2.3113664233,0.0661244727
6168,0,0.7175187259,0,0,0.6965392149,-2.3113664233,0.0661244727
6169,0,0.7175795077,0,0,0.696476597,-2.3113664233,0.0661244727
6170,0,0.7175795077,0,0,0.696476597,-2.3113664233,0.0661244727
6171,0,0.7175795077,0,0,0.696476597,-2.3113664233,0.0661244727
6172,0,0.7175795077,0,0,0.696476597,-2.3113664233,0.0661244727
6173,0,0.7174579387,0,0,0.6966018276,-2.3113664233,0.0661244727
6174,0,0.717397146,0,0,0.696664435,-2.3113664233,0.0661244727
6175,0,0.7173363478,0,0,0.696727037,-2.3113664233,0.0661244727
6176,0,0.7173363478,0,0,0.696727037,-2.3113664233,0.0661244727
6177,0,0.717397146,0,0,0.696664435,-2.3113664233,0.0661244727
6178,0,0.7175187259,0,0,0.6965392149,-2.3113701741,0.0659965895
6179,0,0.7175795077,0,0,0.696476597,-2.3113701741,0.0659965895
6180,0,0.717640284,0,0,0.6964139737,-2.3113689016,0.0660392166
6181,0,0.7181870249,0,0,0.6958501256,-2.3113676215,0.0660818434
6182,0,0.7187333227,0,0,0.6952858483,-2.3113676215,0.0660818434
6183,0,0.71903663,0,0,0.6949721755,-2.3113662076,0.066124466
6184,0,0.7192185486,0,0,0.6947839084,-2.3113662076,0.066124466
6185,0,0.719582238,0,0,0.6944072312,-2.3113632607,0.0662097072
6186,0,0.7200668503,0,0,0.6939046988,-2.3113617426,0.0662523262
6187,0,0.7205511117,0,0,0.6934018283,-2.3113617426,0.0662523262
6188,0,0.7210350218,0,0,0.6928986198,-2.3113584684,0.0663375554
6189,0,0.7215185806,0,0,0.6923950735,-2.3113567719,0.0663801677
6190,0,0.7220017877,0,0,0.6918911899,-2.3113550158,0.0664227776
6191,0,0.722544975,0,0,0.6913239176,-2.3113532002,0.066465385
6192,0,0.7229671459,0,0,0.6908824111,-2.3113513177,0.0665079894
6193,0,0.723389047,0,0,0.6904406467,-2.3113474486,0.0665931937
6194,0,0.7237504617,0,0,0.6900617865,-2.3113434754,0.0666783932
6195,0,0.7242320393,0,0,0.6895563452,-2.3113455066,0.0666357956
6196,0,0.724713264,0,0,0.6890505678,-2.3113413252,0.0667209851
6197,0,0.7251941354,0,0,0.6885444547,-2.3113391751,0.0667635769
6198,0,0.7257947275,0,0,0.6879113413,-2.3113325462,0.0668913432
6199,0,0.726394767,0,0,0.6872777041,-2.3113325462,0.0668913432
6200,0,0.7272338928,0,0,0.6863897327,-2.3113301879,0.066933924
6201,0,0.7277727577,0,0,0.6858183529,-2.3113277256,0.0669764989
6202,0,0.7282513718,0,0,0.6853101046,-2.3113277256,0.0669764989
6203,0,0.728669868,0,0,0.6848651133,-2.3113225484,0.0670616337
6204,0,0.729207535,0,0,0.6842926062,-2.3113225484,0.0670616337
6205,0,0.7305199378,0,0,0.682891368,-2.3113252559,0.0670190737
6206,0,0.7329585908,0,0,0.680273257,-2.3113281267,0.0669765244
6207,0,0.7359789388,0,0,0.6770044326,-2.3113186009,0.0671041074
6208,0,0.7388671107,0,0,0.6738511651,-2.3113114935,0.0671891028
6209,0,0.7415661622,0,0,0.6708797411,-2.3113154105,0.0671466371
6210,0,0.7465801271,0,0,0.6652955086,-2.3113111527,0.06718907
6211,0,0.7508608213,0,0,0.6604604659,-2.3113111527,0.06718907
6212,0,0.7553390039,0,0,0.6553342576,-2.3113165937,0.0671467725
6213,0,0.7598389258,0,0,0.6501113803,-2.3113105774,0.067188992
6214,0,0.76407759,0,0,0.6451243574,-2.3112907841,0.0673153898
6215,0,0.7681717917,0,0,0.6402437805,-2.3112693379,0.0674415176
6216,0,0.7719575274,0,0,0.6356741114,-2.3112616541,0.0674834657
6217,0,0.7754957432,0,0,0.6313527954,-2.3112616541,0.0674834657
6218,0,0.7790097691,0,0,0.6270117859,-2.3112703022,0.0674417057
6219,0,0.7846681867,0,0,0.6199159917,-2.3112611882,0.0674833665
6220,0,0.7891912858,0,0,0.6141474696,-2.3112315822,0.067607832
6221,0,0.7947325329,0,0,0.606959802,-2.3112211064,0.0676491713
6222,0,0.8005745195,0,0,0.599233209,-2.3111986576,0.0677314562
6223,0,0.8062897721,0,0,0.5915207548,-2.3112226962,0.0676496217
6224,0,0.8116759404,0,0,0.5841080104,-2.3112226962,0.0676496217
6225,0,0.8168429671,0,0,0.5768600932,-2.3111685126,0.0678113718
6226,0,0.8219452749,0,0,0.5695664712,-2.3111827762,0.0677711818
6227,0,0.8267370628,0,0,0.5625885077,-2.311197753,0.0677312521
6228,0,0.8313726343,0,0,0.5557153434,-2.3111821024,0.0677709225
6229,0,0.8384328445,0,0,0.5450049222,-2.3111657962,0.067810328
6230,0,0.8432976565,0,0,0.5374467997,-2.3111484845,0.0678493022
6231,0,0.8481405716,0,0,0.5297712438,-2.311130475,0.067887959
6232,0,0.8527769249,0,0,0.5222753261,-2.3110930587,0.0679646059
6233,0,0.8572571787,0,0,0.5148884632,-2.3110930587,0.0679646059
6234,0,0.8616734482,0,0,0.5074631697,-2.3110730244,0.0680022532
6235,0,0.8661126571,0,0,0.4998488424,-2.3110730244,0.0680022532
6236,0,0.8704845823,0,0,0.4921956846,-2.3110730244,0.0680022532
6237,0,0.8747043091,0,0,0.4846569629,-2.3110730244,0.0680022532
6238,0,0.8810559043,0,0,0.4730121495,-2.3110504128,0.0680384112
6239,0,0.8853936258,0,0,0.4648420457,-2.3110739756,0.0680028657
6240,0,0.8896157352,0,0,0.4567098025,-2.3110739756,0.0680028657
6241,0,0.8936848544,0,0,0.4486951983,-2.3110242646,0.0680721734
6242,0,0.8976817714,0,0,0.4406443433,-2.3109478414,0.0681747778
6243,0,0.9016439076,0,0,0.4324792063,-2.3109739265,0.0681410398
6244,0,0.9054947485,0,0,0.4243574679,-2.3109739265,0.0681410398
6245,0,0.9091634405,0,0,0.4164394776,-2.3110012132,0.068108266
6246,0,0.9127272453,0,0,0.4085694258,-2.3109176496,0.0682051437
6247,0,0.9163627296,0,0,0.4003490326,-2.3109460579,0.0681733372
6248,0,0.9217616687,0,0,0.3877569164,-2.3109170824,0.0682046279
6249,0,0.9252097184,0,0,0.3794561595,-2.3109469043,0.0681741428
6250,0,0.9285830189,0,0,0.3711247458,-2.3108861741,0.0682340309
6251,0,0.9319445977,0,0,0.3626006988,-2.3108552757,0.0682634243
6252,0,0.9352588236,0,0,0.3539645927,-2.3108238438,0.0682922465
6253,0,0.9384025917,0,0,0.3455438841,-2.3108558035,0.0682640107
6254,0,0.9414116963,0,0,0.3372595709,-2.3108233414,0.0682916675
6255,0,0.9443763702,0,0,0.3288666467,-2.310856286,0.0682645872
6256,0,0.9472941816,0,0,0.3203650005,-2.3107894431,0.0683175662
6257,0,0.9514333419,0,0,0.3078548293,-2.3107894431,0.0683175662
6258,0,0.9541097565,0,0,0.2994571297,-2.3107548806,0.0683425485
6259,0,0.9568135841,0,0,0.2907021936,-2.3107548806,0.0683425485
6260,0,0.9595354291,0,0,0.2815879264,-2.3107548806,0.0683425485
6261,0,0.9621228912,0,0,0.2726161079,-2.3107907637,0.0683195032
6262,0,0.9645804421,0,0,0.2637888754,-2.3108270708,0.0682971319
6263,0,0.9670014878,0,0,0.2547707257,-2.3107169377,0.0683622385
6264,0,0.9693382221,0,0,0.2457303628,-2.310642718,0.0684042642
6265,0,0.9715077691,0,0,0.2370077098,-2.3106052221,0.0684245804
6266,0,0.9745464404,0,0,0.2241857166,-2.3105673672,0.0684442193
6267,0,0.9765221268,0,0,0.2154171207,-2.3106057265,0.0684255848
6268,0,0.9784369467,0,0,0.2065457369,-2.3106444146,0.0684076428
6269,0,0.980253922,0,0,0.1977428844,-2.3106444146,0.0684076428
6270,0,0.9819752106,0,0,0.1890097502,-2.3106051037,0.0684241756
6271,0,0.9836815602,0,0,0.179918282,-2.3106447027,0.0684083452
6272,0,0.985363304,0,0,0.1704674725,-2.3106447027,0.0684083452
6273,0,0.9869120667,0,0,0.1612593336,-2.3106045352,0.0684226719
6274,0,0.9883349449,0,0,0.1522958855,-2.310523679,0.0684498202
6275,0,0.9896889192,0,0,0.143233527,-2.3104423435,0.0684754964
6276,0,0.9916148703,0,0,0.1292282825,-2.3104423435,0.0684754964
6277,0,0.9927573419,0,0,0.1201368388,-2.3104423435,0.0684754964
6278,0,0.9937970676,0,0,0.1112087606,-2.3104837585,0.0684653239
6279,0,0.9947832434,0,0,0.1020112674,-2.3104837585,0.0684653239
6280,0,0.9957085613,0,0,0.0925443728,-2.3104837585,0.0684653239
6281,0,0.9965292757,0,0,0.0832430333,-2.310441843,0.0684731833
6282,0,0.9972566485,0,0,0.0740214634,-2.3103997879,0.0684802586
6283,0,0.9979156183,0,0,0.0645323083,-2.3104419667,0.0684739625
6284,0,0.9984986729,0,0,0.0547759099,-2.3103996758,0.0684794551
6285,0,0.9991696936,0,0,0.0407421581,-2.3103572857,0.0684841201
6286,0,0.999495535,0,0,0.0317596508,-2.3102722767,0.0684910643
6287,0,0.9997465538,0,0,0.0225128452,-2.3103148368,0.0684883568
6288,0,0.9999120278,0,0,0.0132641133,-2.3103148368,0.0684883568
6289,0,0.9999908577,0,0,0.0042760436,-2.3103148368,0.0684883568
6290,0,0.9999908577,0,0,-0.0042760436,-2.3102721923,0.0684887215
6291,0,0.999926432,0,0,-0.0121297408,-2.3102721923,0.0684887215
6292,0,0.999810652,0,0,-0.0194591929,-2.3102721923,0.0684887215
6293,0,0.9996596055,0,0,-0.0260897116,-2.3102721923,0.0684887215
6294,0,0.9994787687,0,0,-0.032282981,-2.3103147803,0.068490946
6295,0,0.9991482241,0,0,-0.0412653165,-2.3102722231,0.0684881939
6296,0,0.9988733709,0,0,-0.0474551262,-2.3103147239,0.0684917105
6297,0,0.9985507939,0,0,-0.0538173948,-2.310187362,0.0684795816
6298,0,0.9981507467,0,0,-0.0607872264,-2.310229761,0.0684841651
6299,0,0.9977138611,0,0,-0.0675799623,-2.310229761,0.0684841651
6300,0,0.9973144772,0,0,-0.0732381971,-2.310229761,0.0684841651
6301,0,0.9969921897,0,0,-0.0775020878,-2.3101875725,0.0684779353
6302,0,0.9967155829,0,0,-0.0809817678,-2.3101454387,0.0684713448
6303,0,0.9964415574,0,0,-0.0842865505,-2.3102296121,0.0684851137
6304,0,0.9959787628,0,0,-0.089589643,-2.3102296121,0.0684851137
6305,0,0.9957408047,0,0,-0.0921967993,-2.3101876507,0.0684775031
6306,0,0.9956192663,0,0,-0.0935001416,-2.3101457296,0.0684696729
6307,0,0.9955455244,0,0,-0.0942820702,-2.3101457296,0.0684696729
6308,0,0.9954462466,0,0,-0.0953245512,-2.3101876175,0.0684776786
6309,0,0.9953121782,0,0,-0.096714363,-2.3101457465,0.0684695852
6310,0,0.9952103534,0,0,-0.0977565982,-2.3101038982,0.0684613749
6311,0,0.9950901785,0,0,-0.0989724038,-2.3100202363,0.0684447791
6312,0,0.9949247083,0,0,-0.100622189,-2.3100202363,0.0684447791
6313,0,0.9947386379,0,0,-0.1024453137,-2.3101038013,0.0684618565
6314,0,0.9944670281,0,0,-0.1050491794,-2.3101455522,0.0684705483
6315,0,0.9942821681,0,0,-0.1067846909,-2.3101455522,0.0684705483
6316,0,0.9941037457,0,0,-0.1084331256,-2.3101038787,0.0684614925
6317,0,0.9939417881,0,0,-0.1099077883,-2.3101038787,0.0684614925
6318,0,0.993787359,0,0,-0.1112954853,-2.3101871102,0.0684801275
6319,0,0.9935915982,0,0,-0.113029801,-2.3102702893,0.0684989948
6320,0,0.9933727656,0,0,-0.1149371505,-2.3102287329,0.068489416
6321,0,0.9931502715,0,0,-0.1168440763,-2.3101872136,0.0684796777
6322,0,0.9929033758,0,0,-0.1189238676,-2.310145732,0.0684697801
6323,0,0.9925355128,0,0,-0.1219559589,-2.310145732,0.0684697801
6324,0,0.9922887324,0,0,-0.1239478584,-2.3101871095,0.0684801043
6325,0,0.9920159588,0,0,-0.1261123999,-2.3101871095,0.0684801043
6326,0,0.9917272657,0,0,-0.1283628862,-2.31014582,0.0684694338
6327,0,0.9914448614,0,0,-0.1305261922,-2.31014582,0.0684694338
6328,0,0.9911693137,0,0,-0.1326023817,-2.3101046271,0.0684583962
6329,0,0.9909363693,0,0,-0.1343320956,-2.3101046271,0.0684583962
6330,0,0.9907951538,0,0,-0.1353697279,-2.3101046271,0.0684583962
6331,0,0.9907715122,0,0,-0.1355426522,-2.3101046271,0.0684583962
6332,0,0.9908069632,0,0,-0.1352832642,-2.3101046271,0.0684583962
6333,0,0.9908776616,0,0,-0.1347644604,-2.3101046271,0.0684583962
6334,0,0.9909011673,0,0,-0.1345915176,-2.3101046271,0.0684583962
6335,0,0.9909011673,0,0,-0.1345915176,-2.3101046271,0.0684583962
6336,0,0.9908894182,0,0,-0.1346779895,-2.3100635261,0.0684470211
6337,0,0.9908776616,0,0,-0.1347644604,-2.3099813281,0.0684242565
6338,0,0.9908776616,0,0,-0.1347644604,-2.3100224251,0.0684356459
6339,0,0.9909011673,0,0,-0.1345915176,-2.3100224251,0.0684356459
6340,0,0.9909948884,0,0,-0.1338997053,-2.3100224251,0.0684356459
6341,0,0.9911229663,0,0,-0.132948357,-2.3100224251,0.0684356459
6342,0,0.9912731536,0,0,-0.1318238783,-2.3100224251,0.0684356459
6343,0,0.9913763821,0,0,-0.1310452936,-2.3098989335,0.0684022097
6344,0,0.9916261438,0,0,-0.1291417473,-2.3099401148,0.0684132904
6345,0,0.9920708913,0,0,-0.1256795393,-2.3099813384,0.068424213
6346,0,0.9925780229,0,0,-0.1216094913,-2.3099813384,0.068424213
6347,0,0.9930787102,0,0,-0.1174507354,-2.3099399537,0.0684139176
6348,0,0.9935421851,0,0,-0.1134633264,-2.3099399537,0.0684139176
6349,0,0.9939896498,0,0,-0.109474089,-2.3098984057,0.0684043026
6350,0,0.9944026716,0,0,-0.1056566451,-2.3098567818,0.0683950215
6351,0,0.9949247083,0,0,-0.100622189,-2.309773394,0.068377099
6352,0,0.9952359119,0,0,-0.0974960494,-2.3096898291,0.0683600215
6353,0,0.9955042914,0,0,-0.0947164499,-2.3096479938,0.0683517455
6354,0,0.9957488466,0,0,-0.0921099042,-2.3096061129,0.0683437033
6355,0,0.9959943839,0,0,-0.0894158105,-2.3096061129,0.0683437033
6356,0,0.9962553015,0,0,-0.0864602465,-2.3096061129,0.0683437033
6357,0,0.9965292757,0,0,-0.0832430333,-2.3096061129,0.0683437033
6358,0,0.9968068124,0,0,-0.079850978,-2.3095640579,0.0683366279
6359,0,0.9970794715,0,0,-0.0763709864,-2.3095219557,0.068329839
6360,0,0.9973463385,0,0,-0.0728030296,-2.3095219557,0.068329839
6361,0,0.9977373902,0,0,-0.0672316904,-2.3095219557,0.068329839
6362,0,0.997965994,0,0,-0.0637485273,-2.3094374347,0.0683183963
6363,0,0.998182438,0,0,-0.0602645875,-2.3093951352,0.0683129701
6364,0,0.9984504917,0,0,-0.0556472434,-2.3093951352,0.0683129701
6365,0,0.9987674628,0,0,-0.0496342152,-2.3093951352,0.0683129701
6366,0,0.9990746807,0,0,-0.0430090954,-2.3094800071,0.0683214265
6367,0,0.9993474434,0,0,-0.0361204566,-2.3094375188,0.0683177616
6368,0,0.9995752563,0,0,-0.0291428717,-2.3094800536,0.0683208404
6369,0,0.9997562817,0,0,-0.0220766214,-2.3093523327,0.0683133865
6370,0,0.9999210442,0,0,-0.0125660399,-2.3092671238,0.0683096215
6371,0,0.9999756307,0,0,-0.0069812603,-2.3092244912,0.0683085498
6372,0,0.9999988996,0,0,-0.0014835293,-2.309309775,0.0683097407
6373,0,0.9999908577,0,0,0.0042760436,-2.3092671291,0.0683096142
6374,0,0.9999505153,0,0,0.0099482126,-2.3092244847,0.0683099789
6375,0,0.9998886606,0,0,0.0149220113,-2.3092244847,0.0683099789
6376,0,0.9998256268,0,0,0.0186739375,-2.3092671117,0.0683087063
6377,0,0.9997714504,0,0,0.0213786545,-2.3092244954,0.0683102988
6378,0,0.9997203704,0,0,0.023647007,-2.3092244954,0.0683102988
6379,0,0.9996618785,0,0,0.0260024748,-2.3090967004,0.0683163478
6380,0,0.9995624452,0,0,0.0295790159,-2.3090967004,0.0683163478
6381,0,0.9994731191,0,0,0.0324574225,-2.3090541289,0.0683188695
6382,0,0.9993505917,0,0,0.0360332469,-2.3090541289,0.0683188695
6383,0,0.9991943951,0,0,0.0401317925,-2.3089690583,0.0683250122
6384,0,0.9990329347,0,0,0.0439681183,-2.3089690583,0.0683250122
6385,0,0.9989021732,0,0,0.0468449403,-2.3090115395,0.0683212657
6386,0,0.9988357916,0,0,0.0482396248,-2.3090115395,0.0683212657
6387,0,0.9988018706,0,0,0.0489369319,-2.3089690919,0.0683253754
6388,0,0.9987933143,0,0,0.049111255,-2.3090115337,0.0683212065
6389,0,0.9987761104,0,0,0.0494598966,-2.309053974,0.0683170227
6390,0,0.9987587848,0,0,0.0498085322,-2.309053974,0.0683170227
6391,0,0.9987149383,0,0,0.0506800946,-2.3090964085,0.0683127797
6392,0,0.9986477426,0,0,0.0519873656,-2.3090964085,0.0683127797
6393,0,0.9985695189,0,0,0.0534688316,-2.3090964085,0.0683127797
6394,0,0.9985034492,0,0,0.0546887742,-2.3090964085,0.0683127797
6395,0,0.9984698554,0,0,0.055298715,-2.3090540175,0.0683174373
6396,0,0.9984698554,0,0,0.055298715,-2.3090964028,0.0683127279
6397,0,0.998493889,0,0,0.0548630451,-2.3091811732,0.0683033093
6398,0,0.9985177324,0,0,0.0544273647,-2.3092235625,0.0682986369
6399,0,0.9985554866,0,0,0.0537302546,-2.3091387758,0.0683079076
6400,0,0.9985973782,0,0,0.0529459745,-2.309096376,0.0683124838
6401,0,0.9986386539,0,0,0.0521616617,-2.3091387829,0.0683079742
6402,0,0.9986613186,0,0,0.0517259184,-2.3090963689,0.0683124172
6403,0,0.9986793136,0,0,0.0513773167,-2.3090963689,0.0683124172
6404,0,0.9987060778,0,0,0.0508544025,-2.3091387898,0.0683080409
6405,0,0.9987457107,0,0,0.0500700049,-2.3091387898,0.0683080409
6406,0,0.9987847275,0,0,0.0492855765,-2.3090963576,0.0683123061
6407,0,0.998818892,0,0,0.0485882813,-2.3090539187,0.0683165046
6408,0,0.9988692258,0,0,0.0475422941,-2.3090539187,0.0683165046
6409,0,0.9988980814,0,0,0.0469321108,-2.309096372,0.0683124542
6410,0,0.9989265642,0,0,0.04632191,-2.3090114557,0.0683204513
6411,0,0.9989586596,0,0,0.0456245165,-2.3089689926,0.068324398
6412,0,0.9989980941,0,0,0.0447527433,-2.3089265241,0.0683282853
6413,0,0.9990290939,0,0,0.0440553002,-2.3088415737,0.0683359118
6414,0,0.9990633868,0,0,0.0432706511,-2.3088415737,0.0683359118
6415,0,0.9990933519,0,0,0.0425731628,-2.3087990873,0.068339599
6416,0,0.9991264806,0,0,0.0417884637,-2.3087565959,0.0683432268
6417,0,0.9991518213,0,0,0.0411781243,-2.3087140988,0.0683467879
6418,0,0.9991978935,0,0,0.0400445962,-2.3087140988,0.0683467879
6419,0,0.9992762554,0,0,0.0380389982,-2.3087140988,0.0683467879
6420,0,0.9994179288,0,0,0.0341145663,-2.3087140988,0.0683467879
6421,0,0.9995624452,0,0,0.0295790159,-2.3087566456,0.0683438799
6422,0,0.9996863785,0,0,0.0250428564,-2.3088417884,0.0683388364
6423,0,0.9997806835,0,0,0.0209424199,-2.3087991958,0.0683409717
6424,0,0.9998507259,0,0,0.0172778998,-2.3087565872,0.0683427575
6425,0,0.9999013018,0,0,0.0140494382,-2.3087565872,0.0683427575
6426,0,0.9999366364,0,0,0.0112571359,-2.3087565872,0.0683427575
6427,0,0.9999750177,0,0,0.0070685246,-2.308713952,0.0683437176
6428,0,0.9999926283,0,0,0.0038397149,-2.3086286684,0.0683449234
6429,0,0.9999999048,0,0,0.0004363323,-2.3085860236,0.0683452509
6430,0,0.9999950652,0,0,-0.0031415875,-2.3085860236,0.0683452509
6431,0,0.9999762361,0,0,-0.0068939959,-2.3085860236,0.0683452509
6432,0,0.9999423936,0,0,-0.0107335688,-2.3085860236,0.0683452509
6433,0,0.9998925329,0,0,-0.0146602405,-2.3086286598,0.0683461663
6434,0,0.9998304814,0,0,-0.0184121831,-2.3085860321,0.068344916
6435,0,0.9997562817,0,0,-0.0220766214,-2.3086286493,0.0683464862
6436,0,0.999673129,0,0,-0.0255662876,-2.3086286493,0.0683464862
6437,0,0.9995282456,0,0,-0.0307129643,-2.3086712396,0.0683486661
6438,0,0.9994179288,0,0,-0.0341145663,-2.3085861084,0.0683434294
6439,0,0.9993155418,0,0,-0.0369925379,-2.3085861084,0.0683434294
6440,0,0.9992426796,0,0,-0.0389110166,-2.3085861084,0.0683434294
6441,0,0.9992048674,0,0,-0.0398702027,-2.3085010746,0.0683367968
