,%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
2249,1494527510095944127,2324.0,1.49452751058e+18,odom,base_footprint,0.459509236749,-1.52471907484,0.0,0.0,0.0,0.182578735093,0.983191235463,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.479767996876,0.0,0.0,0.0,0.0,-0.754505835637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2250,1494527510111095450,2325.0,1.4945275106e+18,odom,base_footprint,0.468425071312,-1.52128946309,0.0,0.0,0.0,0.175452639534,0.984487872592,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.477635694668,0.0,0.0,0.0,0.0,-0.750142512507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2251,1494527510132892857,2326.0,1.49452751062e+18,odom,base_footprint,0.477469691698,-1.51795989835,0.0,0.0,0.0,0.16470331719,0.986343153931,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.481900299084,0.0,0.0,0.0,0.0,-0.772482726933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2252,1494527510175383815,2327.0,1.49452751064e+18,odom,base_footprint,0.486504129161,-1.51485614538,0.0,0.0,0.0,0.157382505564,0.98753771925,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.477635694668,0.0,0.0,0.0,0.0,-0.76567594285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2253,1494527510175405454,2328.0,1.49452751066e+18,odom,base_footprint,0.495583615879,-1.51188675762,0.0,0.0,0.0,0.150139312408,0.988664850629,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.477635694668,0.0,0.0,0.0,0.0,-0.774053523259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2254,1494527510214760439,2329.0,1.49452751068e+18,odom,base_footprint,0.50450204176,-1.50911409914,0.0,0.0,0.0,0.14219704879,0.989838370299,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.466974183626,0.0,0.0,0.0,0.0,-0.864810644363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2255,1494527510214770084,2330.0,1.4945275107e+18,odom,base_footprint,0.513504758138,-1.50647299031,0.0,0.0,0.0,0.133034848251,0.99111136062,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.469106485834,0.0,0.0,0.0,0.0,-0.994663140712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2256,1494527510258123212,2331.0,1.49452751072e+18,odom,base_footprint,0.522554792909,-1.50399887862,0.0,0.0,0.0,0.122995272631,0.992407256579,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.469106485834,0.0,0.0,0.0,0.0,-1.07267935828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2257,1494527510258146438,2332.0,1.49452751074e+18,odom,base_footprint,0.531818483003,-1.50166684334,0.0,0.0,0.0,0.112682965267,0.993630992541,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.477635694668,0.0,0.0,0.0,0.0,-1.08262773501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2258,1494527510298958470,2333.0,1.49452751076e+18,odom,base_footprint,0.541253295826,-1.49949904938,0.0,0.0,0.0,0.102445313747,0.99473863788,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.484032601293,0.0,0.0,0.0,0.0,-1.06918869977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
