%time,field.level,field.name,field.message,field.hardware_id
1494527466958628880,0,toplevel_state,,
1494527467959336627,0,toplevel_state,,
1494527468958983050,0,toplevel_state,,
1494527469958509453,0,toplevel_state,,
1494527470958467242,0,toplevel_state,,
1494527471959379604,0,toplevel_state,,
1494527472960039951,0,toplevel_state,,
1494527473958425239,0,toplevel_state,,
1494527474959674119,0,toplevel_state,,
1494527475979213298,0,toplevel_state,,
1494527476958253202,0,toplevel_state,,
1494527477959100148,0,toplevel_state,,
1494527478959557163,1,toplevel_state,,
1494527479958396832,0,toplevel_state,,
1494527480959067130,0,toplevel_state,,
1494527481959068743,0,toplevel_state,,
1494527482959067804,0,toplevel_state,,
1494527483958859750,0,toplevel_state,,
1494527484962965293,0,toplevel_state,,
1494527485963039962,0,toplevel_state,,
1494527486958461053,1,toplevel_state,,
1494527487959566259,1,toplevel_state,,
1494527488958260470,1,toplevel_state,,
1494527489958553377,0,toplevel_state,,
1494527490961836947,1,toplevel_state,,
1494527491958480688,0,toplevel_state,,
1494527492960519691,0,toplevel_state,,
1494527493957977878,0,toplevel_state,,
1494527494958131543,1,toplevel_state,,
1494527495958206332,1,toplevel_state,,
1494527496958476927,0,toplevel_state,,
1494527497958183670,1,toplevel_state,,
1494527498959011742,1,toplevel_state,,
1494527499959776904,1,toplevel_state,,
1494527500960929807,1,toplevel_state,,
1494527501960848245,1,toplevel_state,,
1494527502961140218,1,toplevel_state,,
1494527503958277304,1,toplevel_state,,
1494527504958296888,1,toplevel_state,,
1494527505958525086,0,toplevel_state,,
1494527506958022646,0,toplevel_state,,
1494527507958519763,1,toplevel_state,,
1494527508959475586,1,toplevel_state,,
1494527509958393136,1,toplevel_state,,
1494527510958943897,1,toplevel_state,,
1494527511958214886,1,toplevel_state,,
1494527512959144517,1,toplevel_state,,
1494527513970650640,0,toplevel_state,,
1494527514959213820,0,toplevel_state,,
1494527515960575976,1,toplevel_state,,
1494527516959846690,0,toplevel_state,,
1494527517958098544,0,toplevel_state,,
1494527518959109330,1,toplevel_state,,
1494527519959688438,1,toplevel_state,,
1494527520958708855,1,toplevel_state,,
1494527521958600012,1,toplevel_state,,
1494527522960229090,1,toplevel_state,,
1494527523958450953,1,toplevel_state,,
1494527524959210250,1,toplevel_state,,
1494527525958833088,1,toplevel_state,,
1494527526958195438,1,toplevel_state,,
1494527527958092627,1,toplevel_state,,
1494527528957889717,1,toplevel_state,,
1494527529958617879,1,toplevel_state,,
1494527530958508818,0,toplevel_state,,
1494527531958126412,1,toplevel_state,,
1494527532958710555,0,toplevel_state,,
1494527533958372807,0,toplevel_state,,
1494527534958255511,0,toplevel_state,,
1494527535958326109,0,toplevel_state,,
1494527536959589375,0,toplevel_state,,
1494527537958194220,0,toplevel_state,,
