%time,field.level,field.name,field.message,field.hardware_id
1494449909251127118,0,toplevel_state,,
1494449910248605208,0,toplevel_state,,
1494449911248508649,0,toplevel_state,,
1494449912248309071,0,toplevel_state,,
1494449913248707511,0,toplevel_state,,
1494449914249077478,0,toplevel_state,,
1494449915250664251,0,toplevel_state,,
1494449916248444006,0,toplevel_state,,
1494449917250875020,0,toplevel_state,,
1494449918248629104,0,toplevel_state,,
1494449919248492844,0,toplevel_state,,
1494449920248843408,0,toplevel_state,,
1494449921250635652,0,toplevel_state,,
1494449922248535143,0,toplevel_state,,
1494449923249103443,0,toplevel_state,,
1494449924248648846,0,toplevel_state,,
1494449925252098061,0,toplevel_state,,
1494449926249472261,0,toplevel_state,,
1494449927253012485,0,toplevel_state,,
1494449928252091250,0,toplevel_state,,
1494449929250415010,0,toplevel_state,,
1494449930247906050,0,toplevel_state,,
1494449931248739933,0,toplevel_state,,
1494449932248603854,0,toplevel_state,,
1494449933249875421,0,toplevel_state,,
1494449934249297300,0,toplevel_state,,
1494449935247988638,0,toplevel_state,,
1494449936255699812,0,toplevel_state,,
1494449937248273299,0,toplevel_state,,
1494449938256415969,0,toplevel_state,,
1494449939249318049,0,toplevel_state,,
1494449940249619502,0,toplevel_state,,
1494449941248086877,0,toplevel_state,,
1494449942249295953,0,toplevel_state,,
1494449943248658122,0,toplevel_state,,
1494449944248190170,0,toplevel_state,,
1494449945253419718,0,toplevel_state,,
1494449946249766599,0,toplevel_state,,
1494449947247911531,0,toplevel_state,,
1494449948248417680,0,toplevel_state,,
1494449949249921440,0,toplevel_state,,
1494449950248437320,0,toplevel_state,,
1494449951249710607,0,toplevel_state,,
1494449952248007214,0,toplevel_state,,
1494449953248139868,0,toplevel_state,,
1494449954248351063,0,toplevel_state,,
1494449955248279473,0,toplevel_state,,
1494449956247807624,0,toplevel_state,,
1494449957247841004,0,toplevel_state,,
1494449958248598841,0,toplevel_state,,
1494449959249526200,0,toplevel_state,,
1494449960249403956,0,toplevel_state,,
1494449961250364518,0,toplevel_state,,
1494449962248336528,0,toplevel_state,,
1494449963254059867,0,toplevel_state,,
1494449964248481424,0,toplevel_state,,
1494449965248642950,0,toplevel_state,,
1494449966249052875,0,toplevel_state,,
1494449967248969507,0,toplevel_state,,
1494449968248577315,0,toplevel_state,,
1494449969247873368,0,toplevel_state,,
1494449970248642454,0,toplevel_state,,
1494449971249258122,0,toplevel_state,,
1494449972253291190,0,toplevel_state,,
1494449973248063749,0,toplevel_state,,
1494449974247855420,0,toplevel_state,,
1494449975247722115,0,toplevel_state,,
1494449976248887943,0,toplevel_state,,
1494449977251024143,0,toplevel_state,,
1494449978249740992,0,toplevel_state,,
1494449979248114317,0,toplevel_state,,
1494449980247749836,0,toplevel_state,,
1494449981249064430,0,toplevel_state,,
