%time,field.data
1494449908773572894,{ AA 55 4D 01 0F 9C 59 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 28 06 72 07 58 06 06 02 00 00 0D 0E B0 06 91 FF E4 FF B8 FF 89 FF E5 FF BF FF 10 10 00 00 E7 0F EF 0F F0 0F F6 0F ED 0F 00 00 00 00 CB }
1494449908773586195,{ AA 55 4D 01 0F B0 59 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 1B 06 72 07 6B 06 06 02 00 00 0D 0E B2 06 87 FF EA FF C6 FF 8B FF EF FF C7 FF 10 10 00 00 E8 0F E9 0F EB 0F F6 0F ED 0F 00 00 00 00 E1 }
1494449908773593331,{ AA 55 4D 01 0F C4 59 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 10 06 70 07 6F 06 06 02 00 00 0D 0E B4 06 91 FF EF FF BE FF 96 FF EC FF B5 FF 10 10 00 00 E3 0F EC 0F EF 0F F1 0F EE 0F 00 00 00 00 97 }
1494449908773603517,{ AA 55 4D 01 0F D8 59 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 11 06 6F 07 6F 06 06 02 00 00 0D 0E B6 06 97 FF EB FF B4 FF 94 FF EC FF BA FF 10 10 00 00 EA 0F F1 0F EA 0F E3 0F F0 0F 00 00 00 00 8F }
1494449908773667530,{ AA 55 4D 01 0F EC 59 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 11 06 6F 07 6E 06 06 02 00 00 0D 0E B8 06 93 FF ED FF C0 FF 96 FF EA FF C0 FF 10 10 00 00 F0 0F E9 0F DF 0F E7 0F EF 0F 00 00 00 00 90 }
1494449908774914532,{ AA 55 4D 01 0F 00 5A 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 10 06 71 07 6E 06 06 02 00 00 0D 0E BA 06 99 FF E6 FF BF FF 96 FF E2 FF C0 FF 10 10 00 00 E5 0F E6 0F E9 0F EB 0F EF 0F 00 00 00 00 34 }
1494449908774922192,{ AA 55 53 01 0F 14 5A 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 0F 06 71 07 6B 06 06 02 00 00 0D 14 BC 09 8F FF E2 FF BD FF 8D FF E6 FF B5 FF 91 FF EB FF AE FF 10 10 00 00 E2 0F EB 0F F0 0F F2 0F ED 0F 00 00 00 00 6E }
1494449908774940640,{ AA 55 4D 01 0F 28 5A 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 10 06 70 07 6F 06 06 02 00 00 0D 0E BF 06 98 FF EF FF AE FF 9A FF F1 FF B3 FF 10 10 00 00 E6 0F F0 0F EC 0F F3 0F EF 0F 00 00 00 00 64 }
1494449908774956238,{ AA 55 4D 01 0F 3C 5A 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 14 06 6F 07 6F 06 06 02 00 00 0D 0E C1 06 96 FF EF FF B9 FF 90 FF EA FF BD FF 10 10 00 00 E7 0F EF 0F F5 0F E8 0F EE 0F 00 00 00 00 0E }
1494449908774964130,{ AA 55 4D 01 0F 50 5A 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 14 06 6F 07 6F 06 06 02 00 00 0D 0E C3 06 8E FF E5 FF C0 FF 90 FF E5 FF C1 FF 10 10 00 00 E6 0F F1 0F E7 0F E2 0F ED 0F 00 00 00 00 7C }
