,labels,time,vleft,vright,vw,vx
111,False,0.555,4.9554,4.9887,0.0051315,0.17402
112,False,0.56,4.8215,5.2182,0.061167,0.17569
113,False,0.565,5.1495,4.8706,-0.043003,0.17535
114,False,0.57,5.2151,4.8546,-0.055594,0.17622
115,False,0.575,4.7524,4.8862,0.020642,0.16868
116,False,0.58,5.075,5.1379,0.0096965,0.17873
117,False,0.585,5.0893,4.9157,-0.02676,0.17509
118,False,0.59,4.8768,5.0515,0.02694,0.17375
119,False,0.595,5.1716,4.842,-0.050817,0.17524
120,False,0.6,4.897,4.7937,-0.01592,0.16959
121,False,0.605,4.7634,4.9045,0.021744,0.16919
122,False,0.61,4.7967,4.8654,0.010606,0.16909
123,False,0.615,5.1489,5.2046,0.0085806,0.18119
124,False,0.62,5.1057,5.2184,0.017383,0.18067
125,False,0.625,5.1417,4.7659,-0.057937,0.17338
126,False,0.63,5.062,5.0468,-0.002334,0.1769
127,False,0.635,5.1627,4.7719,-0.060255,0.17386
128,False,0.64,4.7675,4.9625,0.030057,0.17027
129,False,0.645,4.9527,5.0108,0.0089509,0.17436
130,False,0.65,4.8748,5.1702,0.045536,0.17579
131,False,0.655,4.9904,5.0625,0.011112,0.17593
132,False,0.66,5.1904,4.8776,-0.048232,0.17619
133,False,0.665,4.8903,5.2023,0.048106,0.17662
134,False,0.67,5.0496,5.1337,0.012964,0.17821
135,False,0.675,4.7631,5.0313,0.041355,0.1714
136,False,0.68,4.8276,5.1986,0.057199,0.17546
137,False,0.685,5.167,4.934,-0.035912,0.17677
138,False,0.69,4.8474,4.9189,0.011012,0.17091
139,False,0.695,5.1649,5.0594,-0.016261,0.17893
140,False,0.7,4.919,4.7934,-0.019364,0.16997
141,False,0.705,5.0856,4.9377,-0.02279,0.17541
142,False,0.71,4.7762,4.8437,0.010409,0.16835
143,False,0.715,5.1172,5.1553,0.0058758,0.17977
144,False,0.72,4.9997,5.1116,0.017251,0.17695
145,False,0.725,5.2216,5.0873,-0.020709,0.18041
146,False,0.73,4.8949,5.207,0.048122,0.17678
147,False,0.735,4.9383,5.1605,0.03426,0.17673
148,True,0.74,4.411,5.0244,0.094567,0.16512
149,False,0.745,5.2324,4.7578,-0.073185,0.17483
150,False,0.75,4.9663,4.7973,-0.026044,0.17086
151,False,0.755,4.7923,5.0074,0.033165,0.17149
152,False,0.76,5.1083,5.2262,0.018179,0.18086
153,False,0.765,5.0034,5.1715,0.025924,0.17806
154,False,0.77,4.914,5.2175,0.046789,0.1773
155,False,0.775,5.1268,5.2367,0.016952,0.18136
156,False,0.78,5.168,4.9363,-0.035731,0.17682
157,False,0.785,4.8769,4.9105,0.0051794,0.17128
158,False,0.79,5.0172,5.1416,0.019182,0.17778
159,False,0.795,4.9676,4.8561,-0.017187,0.17191
160,False,0.8,4.8289,5.2296,0.061786,0.17602
161,False,0.805,5.0502,5.2151,0.025421,0.17964
162,False,0.81,5.2187,4.9329,-0.044075,0.17765
163,False,0.815,4.8039,4.9225,0.018283,0.17021
164,False,0.82,5.2,5.0963,-0.015981,0.18019
165,False,0.825,5.0252,5.1083,0.012808,0.17734
166,False,0.83,4.9637,5.1502,0.028754,0.17699
167,False,0.835,4.8262,5.0468,0.03402,0.17278
168,False,0.84,4.8738,4.7986,-0.011592,0.16927
169,False,0.845,4.9737,5.0298,0.0086452,0.17506
170,False,0.85,5.0164,4.7715,-0.037752,0.17129
171,False,0.855,4.9273,5.1288,0.031067,0.17598
172,False,0.86,5.1366,5.0798,-0.0087475,0.17879
173,False,0.865,5.1908,5.0497,-0.021757,0.17921
174,False,0.87,5.117,4.8635,-0.039093,0.17466
175,False,0.875,4.9532,5.1069,0.023689,0.17605
176,False,0.88,5.0521,5.1123,0.0092761,0.17788
177,False,0.885,5.0706,4.9221,-0.022888,0.17487
178,False,0.89,4.8137,4.7664,-0.0073019,0.16765
179,False,0.895,4.9981,5.1718,0.026784,0.17797
180,False,0.9,4.9052,5.1352,0.03545,0.17571
181,False,0.905,5.0393,5.0048,-0.0053138,0.17577
182,False,0.91,5.2218,5.1035,-0.018244,0.18069
183,False,0.915,4.9635,5.1456,0.02808,0.17691
184,False,0.92,4.7666,4.9153,0.022938,0.16943
185,False,0.925,5.2147,5.2068,-0.0012149,0.18238
186,False,0.93,5.2125,5.0384,-0.02685,0.17939
187,False,0.935,4.9292,4.894,-0.0054271,0.1719
188,False,0.94,4.88,4.8834,0.00053007,0.17086
189,False,0.945,5.1434,5.1951,0.0079651,0.18092
190,False,0.95,5.0058,4.9331,-0.011215,0.17393
191,False,0.955,5.0313,4.825,-0.031802,0.17248
192,False,0.96,5.0924,5.2232,0.020162,0.18052
193,False,0.965,4.7962,5.0754,0.043051,0.17275
194,False,0.97,5.1863,5.2411,0.0084521,0.18248
195,False,0.975,5.2215,4.8469,-0.05775,0.1762
196,False,0.98,4.7983,5.1644,0.056443,0.17435
197,False,0.985,5.1729,4.9969,-0.027143,0.17797
198,False,0.99,5.2047,5.0454,-0.024563,0.17938
199,False,0.995,4.7557,4.7724,0.0025864,0.16674
200,False,1.0,5.0118,5.0322,0.0031435,0.17577
201,False,1.005,5.0752,5.0668,-0.0012952,0.17748
202,False,1.01,4.9426,4.999,0.0087079,0.17398
203,False,1.015,5.0747,4.7798,-0.04546,0.17245
204,False,1.02,5.1314,5.0076,-0.019095,0.17743
205,False,1.025,5.0378,4.7766,-0.04028,0.17175
206,False,1.03,5.066,5.1718,0.016321,0.17916
207,False,1.035,4.8891,5.0473,0.024397,0.17389
208,False,1.04,5.1699,5.0955,-0.011473,0.17964
209,False,1.045,4.9634,5.0736,0.016991,0.17565
210,False,1.05,5.0658,5.0617,-0.00063081,0.17723
211,False,1.055,5.1667,5.2269,0.0092813,0.18189
212,False,1.06,4.8851,4.8385,-0.0071882,0.17016
213,False,1.065,4.9504,4.9875,0.0057129,0.17391
214,False,1.07,5.0271,5.1712,0.022214,0.17847
