%time,field.data
1494450135451166463,{ AA 55 4D 01 0F 24 CE 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 1A 06 72 07 6E 06 06 02 00 00 0D 0E D4 06 8E FF F2 FF BF FF 8C FF EC FF BA FF 10 10 00 00 E7 0F E5 0F EA 0F F1 0F EF 0F 00 00 00 00 EB }
1494450135451173765,{ AA 55 4D 01 0F 38 CE 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 1A 06 72 07 6E 06 06 02 00 00 0D 0E D6 06 89 FF E2 FF BD FF 87 FF DA FF C4 FF 10 10 00 00 E4 0F EA 0F E9 0F EB 0F EE 0F 00 00 00 00 B7 }
1494450135451179748,{ AA 55 4D 01 0F 4C CE 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 12 06 72 07 6E 06 06 02 00 00 0D 0E D8 06 8B FF D7 FF C6 FF 96 FF D5 FF C5 FF 10 10 00 00 EB 0F E2 0F E3 0F EB 0F F0 0F 00 00 00 00 85 }
1494450135451188460,{ AA 55 4D 01 0F 60 CE 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 0F 06 71 07 70 06 06 02 00 00 0D 0E DA 06 9D FF D2 FF C3 FF 9C FF D0 FF C1 FF 10 10 00 00 E9 0F E6 0F E7 0F EA 0F ED 0F 00 00 00 00 A8 }
1494450135451194388,{ AA 55 4D 01 0F 74 CE 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 12 06 71 07 70 06 06 02 00 00 0D 0E DC 06 98 FF D4 FF BF FF 98 FF DC FF BB FF 10 10 00 00 EB 0F EF 0F E1 0F E7 0F EE 0F 00 00 00 00 A9 }
1494450135451209296,{ AA 55 4D 01 0F 88 CE 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 12 06 71 07 70 06 06 02 00 00 0D 0E DE 06 99 FF E4 FF B5 FF 94 FF E7 FF B0 FF 10 10 00 00 E9 0F F7 0F E3 0F E2 0F EE 0F 00 00 00 00 4D }
1494450135451219929,{ AA 55 4D 01 0F 9C CE 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 12 06 71 07 70 06 06 02 00 00 0D 0E E0 06 8F FF E9 FF AD FF 93 FF EA FF AC FF 10 10 00 00 EC 0F EE 0F E4 0F E0 0F F0 0F 00 00 00 00 75 }
1494450135451234744,{ AA 55 4D 01 0F B0 CE 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 12 06 70 07 6E 06 06 02 00 00 0D 0E E2 06 99 FF E8 FF AE FF 9A FF E5 FF B0 FF 10 10 00 00 E8 0F F2 0F ED 0F E0 0F EE 0F 00 00 00 00 45 }
1494450135451244867,{ AA 55 4D 01 0F C4 CE 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 11 06 70 07 6D 06 06 02 00 00 0D 0E E4 06 92 FF E6 FF B0 FF 8B FF E9 FF AF FF 10 10 00 00 E6 0F F0 0F F4 0F E5 0F EE 0F 00 00 00 00 3E }
1494450135451254705,{ AA 55 53 01 0F D8 CE 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 11 06 70 07 6E 06 06 02 00 00 0D 14 E6 09 8A FF EB FF AF FF 91 FF EA FF B0 FF 9D FF E9 FF B5 FF 10 10 00 00 E5 0F EC 0F ED 0F FA 0F F1 0F 00 00 00 00 1C }
