%time,field.level,field.name,field.message,field.hardware_id
1494527313166561227,0,toplevel_state,,
1494527314167921990,0,toplevel_state,,
1494527315164800672,0,toplevel_state,,
1494527316166524496,0,toplevel_state,,
1494527317169004852,0,toplevel_state,,
1494527318166999713,0,toplevel_state,,
1494527319167708136,0,toplevel_state,,
1494527320166205330,0,toplevel_state,,
1494527321166215719,0,toplevel_state,,
1494527322166956111,0,toplevel_state,,
1494527323166938574,0,toplevel_state,,
1494527324169666372,0,toplevel_state,,
1494527325164740304,0,toplevel_state,,
1494527326166812592,0,toplevel_state,,
1494527327166159132,0,toplevel_state,,
1494527328167514535,0,toplevel_state,,
1494527329165108043,0,toplevel_state,,
1494527330168056188,0,toplevel_state,,
1494527331165824595,0,toplevel_state,,
1494527332164933418,0,toplevel_state,,
1494527333166380435,0,toplevel_state,,
1494527334166847507,0,toplevel_state,,
1494527335164989844,0,toplevel_state,,
1494527336330655311,0,toplevel_state,,
1494527337166548769,0,toplevel_state,,
1494527338164888304,1,toplevel_state,,
1494527339165030938,0,toplevel_state,,
1494527340164902526,0,toplevel_state,,
1494527341171509508,0,toplevel_state,,
1494527342165120634,0,toplevel_state,,
1494527343164939263,1,toplevel_state,,
1494527344165302344,1,toplevel_state,,
1494527345164848536,0,toplevel_state,,
1494527346164939663,1,toplevel_state,,
1494527347165535018,0,toplevel_state,,
1494527348168798362,0,toplevel_state,,
1494527349166605312,0,toplevel_state,,
1494527350165692500,0,toplevel_state,,
1494527351164839538,1,toplevel_state,,
1494527352165713357,1,toplevel_state,,
1494527353174758468,1,toplevel_state,,
1494527354166273103,1,toplevel_state,,
1494527355165685789,1,toplevel_state,,
1494527356165046855,0,toplevel_state,,
1494527357167272140,1,toplevel_state,,
1494527358167213696,0,toplevel_state,,
1494527359164930977,1,toplevel_state,,
1494527360165130979,1,toplevel_state,,
1494527361164986191,1,toplevel_state,,
1494527362166631546,1,toplevel_state,,
1494527363166682093,0,toplevel_state,,
1494527364164916957,1,toplevel_state,,
1494527365166522954,0,toplevel_state,,
1494527366165260900,1,toplevel_state,,
1494527367166274515,1,toplevel_state,,
1494527368173261978,0,toplevel_state,,
1494527369164954564,1,toplevel_state,,
1494527370166350939,1,toplevel_state,,
1494527371166143653,1,toplevel_state,,
1494527372164833042,1,toplevel_state,,
1494527373164936319,0,toplevel_state,,
1494527374165548009,0,toplevel_state,,
1494527375166870279,1,toplevel_state,,
1494527376166731778,1,toplevel_state,,
1494527377168516915,1,toplevel_state,,
1494527378165786904,1,toplevel_state,,
1494527379167567790,1,toplevel_state,,
1494527380165570246,0,toplevel_state,,
1494527381169206720,0,toplevel_state,,
1494527382167725414,0,toplevel_state,,
1494527383165145037,0,toplevel_state,,
1494527384164793014,0,toplevel_state,,
1494527385164683861,0,toplevel_state,,
1494527386164560416,0,toplevel_state,,
1494527387172433741,0,toplevel_state,,
1494527388165010770,0,toplevel_state,,
1494527389164860846,0,toplevel_state,,
1494527390164791002,0,toplevel_state,,
1494527391166771085,0,toplevel_state,,
1494527392166101820,0,toplevel_state,,
1494527393166372200,0,toplevel_state,,
1494527394164667896,0,toplevel_state,,
